#{"t_start": 1653929670.751595, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
820.614712,88,46.804184
249.944074,27,47.413343
268.331417,29,47.620013
306.142799,33,47.855083
231.563783,25,48.087712
241.094501,26,48.277347
240.485097,26,48.478363
324.389017,35,48.669398
390.079669,42,48.913774
249.248432,27,49.216778
363.101434,39,49.43592
334.096759,36,49.724899
250.197216,27,49.998997
258.385301,28,50.24147
202.505541,22,50.461696
334.671982,36,50.686833
465.016118,50,50.973432
409.268239,44,51.365478
428.040295,46,51.727045
1036.061927,111,52.242933
521.025884,56,52.968451
259.282072,28,53.356419
399.860663,43,53.569463
577.85282,62,53.911223
333.996206,36,54.564737
540.561518,58,54.985184
315.664229,34,55.477111
249.895892,27,55.768288
343.643518,37,55.958988
278.630106,30,56.215806
315.875925,34,56.423288
250.194848,27,56.649115
428.481849,46,56.844272
324.970153,35,57.150199
353.341119,38,57.396782
577.416005,62,57.671751
773.758039,83,58.10418
297.070563,32,58.628359
1072.564779,115,58.905174
231.260362,25,59.620485
400.048812,43,59.800765
502.944956,54,60.137711
325.825376,35,60.492544
297.480825,32,60.789694
427.967701,46,61.159147
334.316588,36,61.603621
447.260198,48,61.878227
568.502477,61,62.279954
661.191057,71,62.740743
801.643086,86,63.270454
250.681285,27,63.825772
315.672013,34,64.019403
334.533967,36,64.25132
437.735315,47,64.502918
231.299474,25,64.803199
343.673825,37,64.986092
428.361622,46,65.242563
399.861936,43,65.550907
343.812865,37,65.840714
587.010821,63,66.106564
577.768647,62,66.54365
287.708953,31,66.941161
577.378947,62,67.19723
259.408831,28,67.595066
474.688331,51,67.809747
492.875152,53,68.240515
278.070538,30,68.60402
418.577607,45,68.854483
268.778858,29,69.166519
483.911646,52,69.397352
446.367527,48,69.864648
400.475248,43,70.270441
269.285885,29,70.665804
530.35789,57,70.88398
475.275474,51,71.275056
381.069808,41,71.608757
596.267695,64,71.905231
353.447587,38,72.31863
576.649609,62,72.592052
343.888627,37,72.995634
596.761064,64,73.261968
707.506547,76,73.702598
642.360206,69,74.210432
566.44715,61,74.697127
427.117174,46,75.114255
503.034234,54,75.44009
362.187475,39,75.836431
539.567534,58,76.132309
408.157972,44,76.549935
633.261753,68,76.880603
792.685213,85,77.378832
315.975171,34,78.108021
437.301468,47,78.389556
623.758471,67,78.781146
950.839618,102,79.298627
1699.404872,182,80.077021
867.223084,93,81.268752
380.945103,41,81.902771
493.679757,53,82.187755
473.279131,51,82.742553
661.682389,71,83.14507
456.325345,49,83.728201
456.192299,49,84.088314
1026.296395,110,84.483644
502.445814,54,85.231959
586.780542,63,85.605226
530.433894,57,86.024638
502.70947,54,86.417652
1100.198248,118,86.82946
773.6974,83,87.684155
623.99328,67,88.281437
305.917169,33,88.718691
726.527185,78,88.974904
680.081088,73,89.534417
717.269199,77,90.148957
446.072908,48,90.967074
539.450998,58,91.390357
867.524217,93,91.851977
745.953553,80,92.569078
1099.974739,118,93.236959
717.673093,77,94.022083
1044.838531,112,94.588116
1138.265638,122,95.357149
708.339613,76,96.15472
1035.601694,111,96.779918
1128.717668,121,97.676524
830.130251,89,98.702332
1034.741484,111,99.511943
389.984454,42,100.474292
998.543973,107,100.830919
1063.734544,114,101.595158
1605.689093,172,102.411796
333.746734,36,103.481555
362.19812,39,103.754452
1353.347996,145,104.127905
1456.588751,156,105.163297
1885.640383,202,106.323444
988.941562,106,107.883552
408.826244,44,108.555398
1279.055964,137,108.949083
492.956719,53,109.822574
1718.755289,184,110.278321
1194.660005,128,111.510223
1456.638702,156,112.458434
2044.954565,219,113.643831
390.116504,42,115.133082
1110.033137,119,115.476579
2016.756788,216,116.354681
866.229499,93,117.726576
8955.12059,958,119.018828
9346.667645,1000,125.980787
9346.380236,1000,133.435476
9335.664955,1000,141.021684
9347.218468,1000,148.269956
641.836278,69,154.835319
9348.909509,1000,155.991265
9338.476427,1000,163.208595
9344.412172,1000,170.141993
9346.368222,1000,177.452343
9348.759574,1000,184.466831
9349.340281,1000,191.570521
9344.776088,1000,198.72991
9343.209276,1000,205.932308
9350.179308,1000,213.094161
9347.218808,1000,220.584099
9350.044127,1000,227.716159
9348.060925,1000,234.748859
9350.817207,1000,241.889263
9349.727915,1000,249.356291
9344.186209,1000,257.19077
9342.722308,1000,265.535723
9333.815632,1000,272.912829
9346.116403,1000,279.987638
9342.961158,1000,287.384241
9342.637817,1000,295.723597
9341.877846,1000,303.302196
9335.397456,1000,310.723686
9324.74403,1000,318.438563
9320.382371,1000,326.283242
1096.762837,118,332.713041
1879.532736,202,333.850394
8725.017459,937,336.333409
5326.333876,573,343.135796
5776.539062,621,347.150756
183.853626,20,351.174278
248.68444,27,351.319077
107.042724,12,351.498597
155.129761,17,351.587723
81.965514,9,351.695952
266.864938,29,351.779373
3613.795208,389,352.229869
435.246003,47,354.659104
9310.94653,1000,355.694467
100.699907,11,362.388196
9310.630535,1000,363.200681
9303.039665,1000,370.229595
