#{"t_start": 1653930631.4645493, "env_id": "Reacher-v2"}
r,l,t
-4.723491,50,844.995962
-2.525459,50,845.907717
-5.453242,50,846.809345
-5.583503,50,847.712398
-3.443139,50,848.609689
-7.049312,50,849.516336
-5.283773,50,850.421236
-6.196072,50,851.328655
-7.846516,50,852.231443
-5.24222,50,853.143553
-4.924504,50,854.050976
-6.849628,50,854.961555
-6.857745,50,855.874712
-8.482883,50,856.786469
-8.760196,50,857.690888
-6.098367,50,858.599277
-3.697746,50,859.69972
-8.223435,50,860.85254
-2.807837,50,861.946219
-5.111618,50,862.867383
-7.882162,50,863.775355
-8.936985,50,864.689489
-8.223244,50,865.601087
-6.397862,50,866.509841
-8.698619,50,867.421692
-7.00976,50,868.339009
-3.046179,50,869.25527
-4.408379,50,870.155961
-4.460406,50,871.064186
-11.266237,50,871.977733
-5.587936,50,872.895597
-3.205744,50,873.810624
-7.785318,50,874.719966
-8.853076,50,875.649403
-3.360899,50,876.570475
-3.397698,50,877.489106
